Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_DET	upos_dist_NOUN	upos_dist_NUM	upos_dist_PART	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_SYM	upos_dist_VERB	upos_dist_X	lexical_density	verbs_tense_dist_Fut	verbs_tense_dist_Imp	verbs_tense_dist_Past	verbs_tense_dist_Pres	verbs_mood_dist_Cnd	verbs_mood_dist_Imp	verbs_mood_dist_Ind	verbs_mood_dist_Sub	verbs_form_dist_Fin	verbs_form_dist_Ger	verbs_form_dist_Inf	verbs_form_dist_Part	verbs_num_pers_dist_Plur+1	verbs_num_pers_dist_Plur+2	verbs_num_pers_dist_Plur+3	verbs_num_pers_dist_Sing+2	verbs_num_pers_dist_Sing+3	aux_tense_dist_Fut	aux_tense_dist_Imp	aux_tense_dist_Past	aux_tense_dist_Pres	aux_mood_dist_Cnd	aux_mood_dist_Imp	aux_mood_dist_Ind	aux_mood_dist_Sub	aux_form_dist_Fin	aux_form_dist_Inf	aux_form_dist_Part	aux_num_pers_dist_Plur+1	aux_num_pers_dist_Plur+2	aux_num_pers_dist_Plur+3	aux_num_pers_dist_Sing+1	aux_num_pers_dist_Sing+2	aux_num_pers_dist_Sing+3	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	prep_dist_1	prep_dist_2	prep_dist_3	prep_dist_4	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_acl:relcl	dep_dist_advcl	dep_dist_advmod	dep_dist_amod	dep_dist_appos	dep_dist_aux	dep_dist_aux:pass	dep_dist_case	dep_dist_cc	dep_dist_ccomp	dep_dist_compound	dep_dist_conj	dep_dist_cop	dep_dist_csubj	dep_dist_det	dep_dist_det:poss	dep_dist_det:predet	dep_dist_expl	dep_dist_expl:impers	dep_dist_expl:pass	dep_dist_fixed	dep_dist_flat	dep_dist_flat:name	dep_dist_iobj	dep_dist_mark	dep_dist_nmod	dep_dist_nsubj	dep_dist_nsubj:pass	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_obl:agent	dep_dist_parataxis	dep_dist_punct	dep_dist_root	dep_dist_xcomp	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2	subordinate_dist_3	subordinate_dist_4
010.conllu	2	21	10.5	5.0	9.523809523809524	9.523809523809524	0	4.761904761904762	4.761904761904762	9.523809523809524	19.047619047619047	4.761904761904762	0	4.761904761904762	0	9.523809523809524	4.761904761904762	0	19.047619047619047	0	0.5263157894736842	0	25.0	50.0	25.0	0	0	50.0	50.0	50.0	0	0	50.0	0	0	50.0	0	50.0	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	0	0	0	0	100.0	2.0	100.0	1.75	0	50.0	25.0	25.0	0	0	0	3.0	5.25	4.0	2.0	6	1.0	2	100.0	0	0	0	0	0	50.0	50.0	0	0	0	0	9.523809523809524	0	4.761904761904762	0	9.523809523809524	4.761904761904762	4.761904761904762	0	4.761904761904762	0	0	9.523809523809524	0	0	4.761904761904762	0	0	0	0	0	0	4.761904761904762	9.523809523809524	9.523809523809524	0	4.761904761904762	0	0	0	0	9.523809523809524	9.523809523809524	0	66.66666666666667	33.333333333333336	100.0	0.0	1.0	100.0	0	0	0
011.conllu	2	21	10.5	5.157894736842105	19.047619047619047	9.523809523809524	0	4.761904761904762	4.761904761904762	9.523809523809524	19.047619047619047	4.761904761904762	0	4.761904761904762	0	9.523809523809524	4.761904761904762	0	9.523809523809524	0	0.5263157894736842	0	0	50.0	50.0	0	0	100.0	0	50.0	0	0	50.0	0	0	100.0	0	0	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	0	100.0	0	0	0	1.0	50.0	2.5	0	0	50.0	50.0	0	0	0	3.0	10.5	4.0	2.0	6	1.0	2	100.0	0	0	0	0	0	50.0	50.0	0	0	0	0	9.523809523809524	0	4.761904761904762	0	9.523809523809524	4.761904761904762	4.761904761904762	0	4.761904761904762	0	0	9.523809523809524	0	0	4.761904761904762	0	0	0	0	0	0	4.761904761904762	9.523809523809524	9.523809523809524	0	4.761904761904762	0	0	0	0	9.523809523809524	9.523809523809524	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0
012.conllu	1	19	19.0	5.222222222222222	15.789473684210526	10.526315789473685	0	0	5.2631578947368425	21.05263157894737	26.31578947368421	0	0	5.2631578947368425	0	5.2631578947368425	0	0	10.526315789473685	0	0.5555555555555556	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	100.0	3.0	0	0	50.0	0	50.0	0	0	5.0	9.5	6.0	1.9411764705882353	6	1.0	1	100.0	0	0	0	50.0	50.0	100.0	0.0	0	0	0	0	15.789473684210526	0	0	0	10.526315789473685	5.2631578947368425	0	0	5.2631578947368425	0	0	21.05263157894737	0	0	0	0	0	0	0	0	0	0	5.2631578947368425	10.526315789473685	0	0	10.526315789473685	5.2631578947368425	0	0	5.2631578947368425	5.2631578947368425	0	100.0	0.0	0	0	0	0	0	0	0
013.conllu	1	19	19.0	5.529411764705882	15.789473684210526	10.526315789473685	0	0	5.2631578947368425	21.05263157894737	31.57894736842105	0	0	0	0	10.526315789473685	0	0	5.2631578947368425	0	0.5882352941176471	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	5.0	19.0	7.0	1.8125	7	2.0	1	0	100.0	0	0	0.0	100.0	100.0	0.0	0	0	0	0	15.789473684210526	0	0	0	10.526315789473685	5.2631578947368425	0	0	5.2631578947368425	0	0	21.05263157894737	0	0	0	0	0	0	0	0	0	0	15.789473684210526	5.2631578947368425	0	0	5.2631578947368425	0	0	0	10.526315789473685	5.2631578947368425	0	100.0	0.0	0	0	0	0	0	0	0
014.conllu	1	19	19.0	5.277777777777778	0	10.526315789473685	10.526315789473685	0	10.526315789473685	26.31578947368421	26.31578947368421	5.2631578947368425	0	0	0	5.2631578947368425	0	0	5.2631578947368425	0	0.4444444444444444	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	4.0	19.0	9.0	2.2941176470588234	9	1.0	1	100.0	0	0	0	0.0	100.0	100.0	0.0	0	0	0	5.2631578947368425	0	0	0	0	10.526315789473685	10.526315789473685	0	0	10.526315789473685	0	0	26.31578947368421	0	0	0	0	0	0	0	0	0	0	5.2631578947368425	5.2631578947368425	0	5.2631578947368425	5.2631578947368425	5.2631578947368425	0	0	5.2631578947368425	5.2631578947368425	0	100.0	0.0	0	0	0	0	0	0	0
015.conllu	1	19	19.0	5.444444444444445	0	21.05263157894737	10.526315789473685	0	10.526315789473685	15.789473684210526	31.57894736842105	5.2631578947368425	0	0	0	5.2631578947368425	0	0	0	0	0.4444444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	6.0	0	13.0	2.2941176470588234	13	1.3333333333333333	3	66.66666666666667	33.333333333333336	0	0	0	0	0	0	0	0	0	5.2631578947368425	0	0	0	0	21.05263157894737	10.526315789473685	0	0	10.526315789473685	0	0	15.789473684210526	0	0	0	0	0	0	0	0	0	0	21.05263157894737	0	0	5.2631578947368425	0	0	0	0	5.2631578947368425	5.2631578947368425	0	0	0	0	0	0	0	0	0	0
016.conllu	2	41	20.5	5.2105263157894735	2.4390243902439024	12.195121951219512	7.317073170731708	2.4390243902439024	2.4390243902439024	26.829268292682926	24.390243902439025	0	0	2.4390243902439024	0	7.317073170731708	2.4390243902439024	0	9.75609756097561	0	0.47368421052631576	0	0	0	100.0	0	0	100.0	0	50.0	0	50.0	0	0	0	50.0	0	50.0	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	0	100.0	0	0	0	2.0	100.0	3.25	0	0	25.0	25.0	50.0	0	0	5.0	10.25	12.5	2.4166666666666665	22	1.3333333333333333	3	66.66666666666667	33.333333333333336	0	0	0.0	100.0	100.0	0.0	0	0	2.4390243902439024	7.317073170731708	2.4390243902439024	0	2.4390243902439024	0	9.75609756097561	2.4390243902439024	0	0	2.4390243902439024	0	0	24.390243902439025	2.4390243902439024	0	0	0	0	0	0	0	0	4.878048780487805	9.75609756097561	7.317073170731708	0	0	7.317073170731708	0	0	0	7.317073170731708	4.878048780487805	2.4390243902439024	50.0	50.0	50.0	50.0	1.0	100.0	0	0	0
017.conllu	2	38	19.0	5.285714285714286	2.6315789473684212	15.789473684210526	5.2631578947368425	2.6315789473684212	2.6315789473684212	21.05263157894737	28.94736842105263	0	0	0	0	7.894736842105263	2.6315789473684212	0	10.526315789473685	0	0.5142857142857142	0	0	0	100.0	0	0	100.0	0	50.0	0	50.0	0	0	0	50.0	0	50.0	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	0	100.0	0	0	0	2.0	100.0	3.0	0	0	25.0	50.0	25.0	0	0	4.5	9.5	10.0	2.303030303030303	17	1.25	4	75.0	25.0	0	0	0.0	100.0	100.0	0.0	0	0	2.6315789473684212	5.2631578947368425	2.6315789473684212	0	2.6315789473684212	0	13.157894736842104	2.6315789473684212	0	0	2.6315789473684212	0	0	18.42105263157895	2.6315789473684212	0	0	0	0	0	0	0	0	5.2631578947368425	13.157894736842104	7.894736842105263	0	0	5.2631578947368425	0	0	0	7.894736842105263	5.2631578947368425	2.6315789473684212	50.0	50.0	50.0	50.0	1.0	100.0	0	0	0
018.conllu	1	28	28.0	4.8076923076923075	3.5714285714285716	14.285714285714286	7.142857142857143	3.5714285714285716	0	21.428571428571427	21.428571428571427	0	0	3.5714285714285716	0	7.142857142857143	3.5714285714285716	0	14.285714285714286	0	0.5	0	0	0	100.0	0	0	100.0	0	25.0	0	75.0	0	0	0	0	0	100.0	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	0	100.0	0	0	0	5.0	100.0	2.75	0	0	25.0	75.0	0	0	0	5.0	5.6	9.0	2.36	9	1.0	1	100.0	0	0	0	0.0	100.0	100.0	0.0	0	0	7.142857142857143	7.142857142857143	3.5714285714285716	0	0	0	3.5714285714285716	0	0	0	0	3.5714285714285716	0	21.428571428571427	0	0	3.5714285714285716	0	0	0	0	0	0	14.285714285714286	3.5714285714285716	7.142857142857143	0	0	7.142857142857143	0	0	0	7.142857142857143	3.5714285714285716	7.142857142857143	20.0	80.0	75.0	25.0	2.0	50.0	0	50.0	0
019.conllu	1	28	28.0	4.6923076923076925	3.5714285714285716	14.285714285714286	7.142857142857143	3.5714285714285716	0	17.857142857142858	21.428571428571427	0	0	3.5714285714285716	0	7.142857142857143	3.5714285714285716	0	17.857142857142858	0	0.5384615384615384	0	0	50.0	50.0	0	0	100.0	0	20.0	0	60.0	20.0	0	0	0	0	100.0	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	0	100.0	0	0	0	6.0	100.0	2.4	0	20.0	20.0	60.0	0	0	0	5.0	4.666666666666667	15.0	2.72	15	1.0	1	100.0	0	0	0	0.0	100.0	100.0	0.0	0	0	7.142857142857143	7.142857142857143	3.5714285714285716	0	0	0	3.5714285714285716	0	3.5714285714285716	0	0	3.5714285714285716	0	17.857142857142858	0	0	3.5714285714285716	0	0	0	0	0	0	14.285714285714286	3.5714285714285716	7.142857142857143	0	0	7.142857142857143	0	0	0	7.142857142857143	3.5714285714285716	7.142857142857143	16.666666666666668	83.33333333333333	60.0	40.0	2.5	0	50.0	50.0	0
020.conllu	2	42	21.0	5.085714285714285	4.761904761904762	14.285714285714286	4.761904761904762	2.380952380952381	2.380952380952381	16.666666666666668	19.047619047619047	2.380952380952381	0	4.761904761904762	2.380952380952381	16.666666666666668	0	0	9.523809523809524	0	0.4857142857142857	0	0	0	100.0	0	0	100.0	0	50.0	0	50.0	0	0	0	50.0	0	50.0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	2.5	50.0	2.25	0	0	75.0	25.0	0	0	0	5.5	8.4	5.5	1.9696969696969697	8	1.0	2	100.0	0	0	0	25.0	75.0	100.0	0.0	7.142857142857143	2.380952380952381	0	4.761904761904762	0	0	0	0	7.142857142857143	2.380952380952381	0	0	2.380952380952381	2.380952380952381	0	16.666666666666668	0	0	0	0	0	0	0	0	0	7.142857142857143	4.761904761904762	4.761904761904762	0	2.380952380952381	9.523809523809524	4.761904761904762	0	0	16.666666666666668	4.761904761904762	0	20.0	80.0	100.0	0.0	1.0	100.0	0	0	0
021.conllu	2	41	20.5	5.029411764705882	7.317073170731708	14.634146341463415	2.4390243902439024	2.4390243902439024	2.4390243902439024	17.073170731707318	17.073170731707318	2.4390243902439024	0	4.878048780487805	2.4390243902439024	17.073170731707318	0	0	9.75609756097561	0	0.47058823529411764	0	0	0	100.0	0	0	100.0	0	50.0	0	50.0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	2.5	50.0	2.75	0	0	25.0	75.0	0	0	0	4.5	8.2	6.5	2.09375	8	1.0	1	100.0	0	0	0	33.333333333333336	66.66666666666667	100.0	0.0	4.878048780487805	2.4390243902439024	0	2.4390243902439024	0	0	0	0	7.317073170731708	2.4390243902439024	0	0	2.4390243902439024	2.4390243902439024	0	17.073170731707318	0	0	0	0	0	0	0	0	0	7.317073170731708	2.4390243902439024	4.878048780487805	0	2.4390243902439024	7.317073170731708	7.317073170731708	0	0	17.073170731707318	4.878048780487805	4.878048780487805	20.0	80.0	100.0	0.0	1.0	100.0	0	0	0
022.conllu	1	24	24.0	5.695652173913044	8.333333333333334	8.333333333333334	4.166666666666667	4.166666666666667	4.166666666666667	25.0	25.0	0	0	4.166666666666667	0	4.166666666666667	0	0	12.5	0	0.5217391304347826	0	0	0	100.0	0	0	100.0	0	66.66666666666667	0	33.333333333333336	0	0	0	0	0	100.0	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	0	0	0	0	100.0	4.0	100.0	2.6666666666666665	0	0	33.333333333333336	66.66666666666667	0	0	0	4.0	6.0	7.0	2.227272727272727	7	0	0	0	0	0	0	0.0	100.0	100.0	0.0	0	4.166666666666667	0	4.166666666666667	8.333333333333334	0	0	0	4.166666666666667	4.166666666666667	0	0	4.166666666666667	4.166666666666667	0	25.0	0	0	0	0	0	0	0	0	0	4.166666666666667	0	8.333333333333334	0	0	12.5	4.166666666666667	0	0	4.166666666666667	4.166666666666667	4.166666666666667	33.333333333333336	66.66666666666667	100.0	0.0	1.0	100.0	0	0	0
